Title,Author,Avg_Rating,Total_Ratings,Votes,Score
"Faith of the Fallen (Sword of Truth, #6)",Terry Goodkind,4.11,74442,37,2986
NOS4A2,Joe Hill,4.07,143802,36,2982
"Fearless (The Powerless Trilogy, #3)",Lauren  Roberts,4.07,342257,31,2980
Das Kapital,Karl Marx,3.91,12170,32,2979
Mickey7 (Mickey7 #1),Edward Ashton,3.78,52300,32,2979
The Wife in the Photo,Emily Shiner,3.59,7129,31,2978
Blood Debt (Rogue Warrior #2),Ian Loome,4.43,3564,31,2978
O Pioneers!,Willa Cather,3.9,58389,47,2977
"The Rise of Nine (Lorien Legacies, #3)",Pittacus Lore,4.16,112362,40,2977
"Lord of Chaos (The Wheel of Time, #6)",Robert Jordan,4.19,195427,42,2975
We Are the Ants,Shaun David Hutchinson,4.1,53723,32,2975
Homage to Catalonia,George Orwell,4.09,70704,38,2973
Blood Red Road (Dust Lands #1),Moira Young,3.91,62216,37,2971
"Ship of Magic (Liveship Traders, #1)",Robin Hobb,4.24,103634,36,2970
The Gone World,Tom Sweterlitsch,3.91,27905,34,2966
"How to Become the Dark Lord and Die Trying (Dark Lord Davi, #1)",Django Wexler,3.77,16279,33,2964
"Winesburg, Ohio",Sherwood Anderson,3.84,36846,39,2963
El túnel,Ernesto Sabato,4.02,93251,35,2963
"King of Wrath (Kings of Sin, #1)",Ana Huang,4.04,623844,34,2962
"Flashback (Keeper of the Lost Cities, #7)",Shannon Messenger,4.32,44468,34,2961
"Flash Point (Jason Trapp, #3)",Jack     Slater,4.51,10418,31,2957
Little Dorrit,Charles Dickens,4.0,49765,41,2954
The World Needs Who You Were Made to Be,Joanna Gaines,4.28,2886,31,2953
"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",Douglas Adams,3.96,138891,41,2952
"Shadowland (The Mediator, #1)",Jenny Carroll,4.04,71222,41,2951
The Call of Cthulhu and Other Weird Stories,H.P. Lovecraft,4.02,117694,40,2951
"The Gentleman's Guide to Vice and Virtue (Montague Siblings, #1)",Mackenzi Lee,4.02,145480,33,2949
Black Eagle (Jason Trapp #6),Jack     Slater,4.5,6250,31,2949
"By the Unholy Hand (Executioner Knights, #1)",Kathryn Le Veque,4.4,1686,31,2946
The Lottery and Other Stories,Shirley Jackson,4.02,84290,54,2945
Winter's Mourn (Winter Black #1),Mary Stone,4.29,32557,31,2940
"The Longest Con: How Grifters, Swindlers, and Frauds Hijacked American Conservatism",Joe Conason,4.14,1129,32,2940
"Written in My Own Heart's Blood (Outlander, #8)",Diana Gabaldon,4.55,139955,37,2939
"The Last Sentinel (Clayton White, #2)",Simon Gervais,4.34,5805,31,2939
Plain Truth,Jodi Picoult,4.01,196775,39,2938
"Eon: Dragoneye Reborn (Eon, #1)",Alison Goodman,3.96,62757,34,2937
"Fluency (Confluence, #1)",Jennifer Foehner Wells,3.83,11499,31,2937
Batman: The Killing Joke,Alan             Moore,4.36,235144,40,2935
Life 3.0: Being Human in the Age of Artificial Intelligence,Max Tegmark,4.0,27381,31,2935
"Dance with the Devil (Dark-Hunter, #3)",Sherrilyn Kenyon,4.37,66945,42,2928
"Slow Time Between the Stars (The Far Reaches, #6)",John Scalzi,4.16,13577,31,2928
"Lessons In Faking (Hall Beck University, #1)",Selina Mae,3.79,7244,31,2928
"Existence (Existence, #1)",Abbi Glines,3.92,62537,39,2924
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,4.13,443517,34,2922
"Hard Knocks (SC Marva Collins, #3)",Nathan Lowell,4.52,2562,31,2922
"Behind the Net (Vancouver Storm, #1)",Stephanie  Archer,3.79,180243,31,2922
"Finnikin of the Rock (Lumatere Chronicles, #1)",Melina Marchetta,3.9,44400,35,2921
Stormbreaker (Alex Rider #1),Anthony Horowitz,3.98,108397,39,2920
Rage of Angels,Sidney Sheldon,3.97,40692,37,2919
The Viola Factor,Sheridan  Brown,4.37,782,33,2918
Lore,Alexandra Bracken,3.74,106376,31,2911
"Crossroads and the Dominion of Four (Crossroads, #2)",C. Toni Graham,4.3,3359,32,2909
Anxious People,Fredrik Backman,4.17,793448,37,2909
Recursion,Blake Crouch,4.17,310773,34,2906
Pitcher Us (Boston Blues #1),Mollie Goins,3.99,4968,31,2906
"The Road Less Traveled: A New Psychology of Love, Traditional Values and Spiritual Growth",M. Scott Peck,4.08,102300,44,2904
"First Grave on the Right (Charley Davidson, #1)",Darynda Jones,4.02,91800,39,2904
"Witches Abroad (Discworld, #12; Witches, #3)",Terry Pratchett,4.26,97736,44,2902
"So Long, and Thanks for All the Fish (The Hitchhiker's Guide to the Galaxy, #4)",Douglas Adams,4.08,184712,46,2902
Antarctica Station,A.G. Riddle,3.97,13138,31,2902
I Remember You,Brian Freeman,4.07,3981,30,2900
The Outsider (Holly Gibney #1),Stephen  King,4.01,377276,34,2897
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,4.3,232843,33,2895
Dance Dance Dance,Haruki Murakami,4.04,99360,36,2893
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,4.35,274122,32,2893
We the Living,Ayn Rand,3.96,30724,37,2888
The Mountains Sing,Nguyễn Phan Quế Mai,4.31,61533,31,2888
"Nightfall (The Vampire Diaries: The Return, #1)",L.J. Smith,3.55,54629,44,2886
"A Gathering of Shadows (Shades of Magic, #2)",V.E. Schwab,4.19,233723,33,2884
"The Rape of the Mind: The Psychology of Thought Control, Menticide, and Brainwashing",Joost A.M. Meerloo,4.2,1262,31,2884
"Dark Flame (The Immortals, #4)",Alyson Noel,3.73,65506,48,2883
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,4.28,199327,36,2882
"Splintered (Splintered, #1)",A.G. Howard,3.9,67384,34,2882
The Magic of Ordinary Days,Ann Howard Creel,3.89,11759,30,2882
"Night Watch (Watch, #1)",Sergei Lukyanenko,3.97,45132,38,2881
"Seeking Fairness at Work: Cracking the New Code of Greater Employee Engagement, Retention & Satisfaction",Hanna  Hasl-Kelchner,4.38,1406,33,2880
The Strength In Our Scars,Bianca Sparacino,4.04,14196,30,2878
Anathem,Neal Stephenson,4.17,75407,34,2876
The Sun and Her Flowers,Rupi Kaur,4.08,373424,32,2876
"The Black Echo (Harry Bosch, #1; Harry Bosch Universe, #1)",Michael    Connelly,4.14,215547,41,2875
"Tangled (Tangled, #1)",Emma Chase,4.03,120573,35,2872
"The Space Between Worlds (The Space Between Worlds, #1)",Micaiah Johnson,3.93,44691,30,2870
The State and Revolution,Vladimir Lenin,4.26,18374,31,2868
Winter of the World (The Century Trilogy #2),Ken Follett,4.38,176525,35,2866
"Just One Damned Thing After Another (The Chronicles of St Mary's, #1)",Jodi Taylor,3.87,52046,30,2862
"Gaudy Night (Lord Peter Wimsey, #12)",Dorothy L. Sayers,4.19,31990,41,2861
"Wild Magic (Immortals, #1)",Tamora Pierce,4.31,82757,42,2857
"The ​Crown of Gilded Bones (Blood and Ash, #3)",Jennifer L. Armentrout,4.16,448650,33,2857
The House at Riverton,Kate Morton,3.95,125117,38,2854
What We Talk About When We Talk About Love,Raymond Carver,4.01,77194,43,2843
Moon Palace,Paul Auster,3.98,29172,33,2841
The Rainbow Fish,Marcus Pfister,4.21,163126,30,2840
"One of Us Is Next (One of Us Is Lying, #2)",Karen M. McManus,3.9,283862,33,2840
"Alas, Babylon: The Classic Apocalyptic Novel of Courage, Survival, and Determination After Nuclear Holocaust",Pat Frank,4.09,48428,39,2837
عزازيل,Youssef Ziedan,4.03,52148,30,2836
"The Raven King (The Raven Cycle, #4)",Maggie Stiefvater,4.25,159513,35,2833
"The Light Fantastic (Discworld, #2; Rincewind, #2)",Terry Pratchett,4.01,167835,42,2830
"Bumi Manusia (Tetralogi Buru, #1)",Pramoedya Ananta Toer,4.43,22499,30,2830
"The Black Order (Tom Clancy's Op-Center, #20)",Jeff Rovin,3.9,1132,29,2822
"Bird Box (Bird Box, #1)",Josh Malerman,4.04,209361,35,2821
The Mill on the Floss,George Eliot,3.83,58916,44,2816
No Exit and Three Other Plays,Jean-Paul Sartre,4.09,30012,44,2814
"The Andromeda Strain (Andromeda, #1)",Michael Crichton,3.91,270735,44,2814
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,4.05,244966,37,2811
"Compulsory (The Murderbot Diaries, #0.5)",Martha Wells,4.3,14113,30,2811
The Dragon Queen (The Dragon #2),William  Andrews,4.26,5723,29,2810
"Beyond the Shadows (Night Angel, #3)",Brent Weeks,4.27,103639,34,2809
The Executioner's Song,Norman Mailer,4.05,23212,41,2809
Chess Story,Stefan Zweig,4.27,169835,34,2809
"Serpent & Dove (Serpent & Dove, #1)",Shelby Mahurin,3.97,343083,33,2805
Betting on You,Lynn Painter,4.12,165576,29,2805
Common Sense,Thomas Paine,4.0,39358,48,2803
Os Maias,Eça de Queirós,3.99,27063,32,2798
"Soul Music (Discworld, #16; Death, #3)",Terry Pratchett,4.06,86621,42,2798
"The Forbidden Game (The Forbidden Game, #1-3)",L.J. Smith,4.19,22614,35,2796
Seraphina (Seraphina #1),Rachel Hartman,3.94,89250,35,2796
"A Brief History of Intelligence: Evolution, AI, and the Five Breakthroughs That Made Our Brains",Max Solomon Bennett,4.46,4237,29,2794
I Hope This Doesn't Find You,Ann Liang,4.16,70580,29,2793
Housekeeping,Marilynne Robinson,3.81,58396,38,2791
The Birth of Venus,Sarah Dunant,3.81,99920,35,2788
The Novice (The Black Magician Trilogy #2),Trudi Canavan,4.08,64287,37,2784
"Lies, Inc.",Philip K. Dick,3.2,3562,29,2783
"Wolf's Head (The Forest Lord, #1)",Steven A. McKay,4.04,2707,29,2783
Amy & Roger's Epic Detour,Morgan Matson,3.98,94675,32,2780
Dragon Seed,Pearl S. Buck,4.11,3598,29,2778
Between the World and Me,Ta-Nehisi Coates,4.4,364605,34,2776
"Fragile Eternity (Wicked Lovely, #3)",Melissa Marr,3.84,44705,45,2775
The Last Dying Light,William Havelock,4.39,2178,29,2774
The 7 1/2 Deaths of Evelyn Hardcastle,Stuart Turton,3.78,476593,32,2773
Ghosts,Dolly Alderton,3.87,152067,29,2773
"Son of Mercia (Eagle of Mercia Chronicles, #1)",M.J. Porter,4.22,1934,29,2772
"White Hot Kiss (The Dark Elements, #1)",Jennifer L. Armentrout,4.16,90099,35,2770
A Gracious Enemy & After the War Volume Two,Michael G. Kramer,4.29,6043,29,2770
Deep Utopia: Life and Meaning in a Solved World,Nick Bostrom,3.65,781,29,2768
Redshirts,John Scalzi,3.87,117268,33,2767
"The Book of Three (The Chronicles of Prydain, #1)",Lloyd Alexander,3.98,83046,39,2767
"Shadow's Edge (Night Angel, #2)",Brent Weeks,4.25,108960,34,2766
"Aristotle and Dante Dive into the Waters of the World (Aristotle and Dante, #2)",Benjamin Alire Sáenz,4.12,109325,29,2763
Someone Like You,Sarah Dessen,3.92,105896,38,2761
The Innocent Man: Murder and Injustice in a Small Town,John Grisham,3.87,84148,31,2761
The Things We Cannot Say,Kelly Rimmer,4.54,267692,29,2757
"Stone of Tears (Sword of Truth, #2)",Terry Goodkind,4.11,116386,36,2756
The Frozen River,Ariel Lawhon,4.38,510752,29,2753
Wide Sargasso Sea,Jean Rhys,3.59,106296,47,2751
"Steelheart (The Reckoners, #1)",Brandon Sanderson,4.14,195008,32,2750
"War Storm (Red Queen, #4)",Victoria Aveyard,3.8,202898,32,2749
The Guardian of Secrets and Her Deathly Pact,Jana Petken,4.23,1527,28,2748
"Fool's Fate (Tawny Man, #3)",Robin Hobb,4.5,89436,33,2748
"A Desolation Called Peace (Teixcalaan, #2)",Arkady Martine,4.3,36102,30,2748
The Sneetches and Other Stories,Dr. Seuss,4.31,65952,43,2747
Lucifer's Hammer,Larry Niven,4.0,45341,36,2746
"The Last Kingdom (The Saxon Stories, #1)",Bernard Cornwell,4.27,111518,36,2745
Financial Feminist: Overcome the Patriarchy's Bullsh*t to Master Your Money and Build a Life You Love,Tori Dunlap,4.09,17016,29,2745
"The Ersatz Elevator (A Series of Unfortunate Events, #6)",Lemony Snicket,4.06,159181,42,2744
Sidewinder (Rachel Hatch #11),L.T. Ryan,4.52,7098,29,2739
"Reached (Matched, #3)",Ally Condie,3.54,177137,37,2738
"Firestarters: How Innovators, Instigators, and Initiators Can Inspire You to Ignite Your Own Life",Raoul Davis Jr.,4.29,4846,30,2738
The Ministry of Time,Kaliane Bradley,3.57,210880,29,2738
"Reckless (Thoughtless, #3)",S.C. Stephens,4.4,78285,33,2736
The Woods,Harlan Coben,4.06,110738,35,2734
The Tao of Pooh,Benjamin Hoff,4.01,130093,41,2728
"Supernova (Renegades, #3)",Marissa Meyer,4.37,86944,31,2728
"The Shadows Between Us (The Shadows Between Us, #1)",Tricia Levenseller,3.82,215821,31,2728
"The Rising Tide (World War II: 1939-1945, #1)",Jeff Shaara,4.17,9969,29,2727
"Dreams of Gods & Monsters (Daughter of Smoke & Bone, #3)",Laini Taylor,4.12,115203,32,2726
The Fire Next Time,James Baldwin,4.55,119827,35,2725
The Man Without Qualities,Robert Musil,4.19,7362,32,2722
"Chain of Gold (The Last Hours, #1)",Cassandra Clare,4.37,119778,31,2722
"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,4.12,362819,34,2721
The Fall of the House of Usher and Other Tales,Edgar Allan Poe,4.17,74848,46,2719
The Light We Carry: Overcoming in Uncertain Times,Michelle Obama,4.27,97347,29,2716
"Rage and Ruin (The Harbinger, #2)",Jennifer L. Armentrout,4.12,46879,29,2711
"The Half King (The Half King, #1)",Melissa Landers,3.67,9871,29,2710
"Circus of the Damned (Anita Blake, Vampire Hunter, #3)",Laurell K. Hamilton,4.17,97205,39,2709
"Tower of Dawn (Throne of Glass, #6)",Sarah J. Maas,4.28,1034544,31,2708
"Legacy (Keeper of the Lost Cities, #8)",Shannon Messenger,4.44,41080,31,2705
The Trumpet of the Swan,E.B. White,4.11,82068,41,2703
"The Tea Rose (The Tea Rose, #1)",Jennifer Donnelly,4.22,40583,32,2700
Lips of a Mastodon,Ted Bernal Guevara,3.57,2870,27,2700
"My Funny Demon Valentine (Hell Bent, #1)",Aurora Ascher,3.79,16365,29,2700
Dreamland,Sarah Dessen,3.9,83985,34,2698
Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan,4.34,39335,31,2698
The Prince and the Pauper,Mark Twain,3.87,125184,55,2697
The Steps: 12 Secrets To Raising Happy and Successful Kids,Andrew    Watson,4.52,84,27,2696
Dust Child,Nguyễn Phan Quế Mai,4.23,19653,28,2695
"Ship of Destiny (Liveship Traders, #3)",Robin Hobb,4.33,88073,32,2694
"Annihilation (Southern Reach, #1)",Jeff Vandermeer,3.8,298933,32,2693
Dead Fall (Scot Harvath #22),Brad Thor,4.39,16006,28,2692
The Confidence Code: The Science and Art of Self-Assurance – What Women Should Know,Katty Kay,3.71,16750,28,2691
She Thinks Like a Boss: Leadership—9 Essential Skills for New Female Leaders in Business and the Workplace,Jemma Roedel,3.8,987,28,2689
"The Earthsea Trilogy (Earthsea Cycle, #1-3)",Ursula K. Le Guin,4.28,21801,41,2687
"Brave, Not Perfect: Fear Less, Fail More, and Live Bolder",Reshma Saujani,3.87,9542,28,2684
The Castle,Franz Kafka,3.91,74890,35,2682
Marina,Carlos Ruiz Zafón,4.14,94777,31,2678
"Rosemary’s Baby (Rosemary's Baby, #1)",Ira Levin,4.05,158411,44,2676
Unmasking AI: My Mission to Protect What Is Human in a World of Machines,Joy Buolamwini,4.1,1636,28,2676
"Half Bad (The Half Bad Trilogy, #1)",Sally Green,3.78,57129,31,2675
"The Butterfly Garden  (The Collector, #1)",Dot Hutchison,4.09,278867,32,2675
You Shouldn't Be Here,Lauren Thoman,3.69,10561,28,2675
"Never Your Girl (Western Wildcats Hockey, #7)",Jennifer Sucevic,4.1,3357,28,2673
"The Constant Princess (The Plantagenet and Tudor Novels, #6)",Philippa Gregory,3.93,166882,48,2670
"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)",Alan Bradley,3.82,178333,37,2669
"The Tale of the Body Thief (The Vampire Chronicles, #4)",Anne Rice,3.76,91843,40,2661
"Beautiful Chaos (Caster Chronicles, #3)",Kami Garcia,3.92,106247,39,2659
Regretting You,Colleen Hoover,4.1,896988,31,2658
Gilded Tower (Double-Blind #2),J. McCoy,4.31,912,28,2658
Roadside Picnic,Arkady Strugatsky,4.12,86155,32,2652
"Saga, Volume 1",Brian K. Vaughan,4.16,360240,33,2651
New Startup Mindset: Ten Mindset Shifts to Build the Company of Your Dreams,Sandra Shpilberg,4.28,429,28,2651
What Comes of Attending the Commoners Ball,Elisabeth Aimee Brown,4.1,5117,28,2650
"The End (A Series of Unfortunate Events, #13)",Lemony Snicket,4.04,116263,40,2649
"My Side of the Mountain (Mountain, #1)",Jean Craighead George,4.1,84808,38,2649
"First Test (Protector of the Small, #1)",Tamora Pierce,4.25,63274,35,2647
Pied Piper,Nevil Shute,4.27,5245,29,2645
Island,Aldous Huxley,3.85,35810,31,2644
Whalefall,Daniel Kraus,3.68,29455,28,2644
"The Sight (The Sight, #1)",David Clement-Davies,4.14,14015,30,2642
"The Coincidence of Callie & Kayden (The Coincidence, #1)",Jessica Sorensen,4.16,117318,32,2640
Falling Up,Shel Silverstein,4.36,157273,47,2639
"All Your Perfects (Hopeless, #3)",Colleen Hoover,4.0,698996,29,2637
The Rules of Attraction,Bret Easton Ellis,3.72,51516,33,2635
"Magic Burns (Kate Daniels, #2)",Ilona Andrews,4.3,94400,36,2635
"Legend (The Drenai Saga, #1)",David Gemmell,4.26,35600,30,2631
In the Woods (Dublin Murder Squad #1),Tana French,3.78,437487,36,2631
"Equal Rites (Discworld, #3; Witches, #1)",Terry Pratchett,4.07,198640,43,2630
The Cadaver Factory,Kenneth Jarrett Singleton,4.4,285,27,2630
Lord Jim,Joseph Conrad,3.61,32917,45,2629
The Girl from Venice,Martin Cruz Smith,3.43,8798,28,2627
The Return of the Native,Thomas Hardy,3.88,40373,39,2626
"Fruits Basket, Vol. 1",Natsuki Takaya,4.29,209280,41,2626
"Quicksilver (The Baroque Cycle, #1)",Neal Stephenson,3.93,46488,32,2626
Heart-Shaped Box,Joe Hill,3.84,152855,34,2625
The Grace Year,Kim Liggett,4.13,237577,29,2625
"Bitterblue (Graceling Realm, #3)",Kristin Cashore,4.0,123956,38,2624
Daughters of the Dragon (The Dragon #1),William  Andrews,4.48,23849,27,2624
Explosion in Paris,Linda Masemore Pirrung,3.6,2329,29,2623
"Nothing Better Than You (Better than the Movies, #1.6)",Lynn Painter,4.48,10015,28,2623
"A Wild Sheep Chase (The Rat, #3)",Haruki Murakami,3.94,140725,32,2619
The Unquiet Bones,Loreth Anne White,4.17,28520,27,2619
"Good in Bed (Cannie Shapiro, #1)",Jennifer Weiner,3.76,314501,40,2618
RELIC: A SciFi Adventure,T.S. Falk,4.24,1928,27,2617
"Pillow Thoughts (Pillow Thoughts, #1)",Courtney Peppernell,3.81,55207,28,2613
"The Way I Used to Be (The Way I Used to Be, #1)",Amber   Smith,4.14,223852,28,2612
The Dog Walker: Secrets (Dog Walker #1),D.L. Maddox,4.35,1032,31,2612
"A Million Suns (Across the Universe, #2)",Beth Revis,4.01,55103,34,2611
"The Mammoth Hunters (Earth's Children, #3)",Jean M. Auel,3.96,77543,42,2610
The Harry Potter Wizarding Almanac: The Official Magical Companion to J.K. Rowling's Harry Potter Books,J.K. Rowling,4.28,9718,28,2610
"It's Not Summer Without You (Summer, #2)",Jenny Han,3.74,713444,33,2609
"The Spy Coast (The Martini Club, #1)",Tess Gerritsen,4.31,107964,27,2609
The Anomaly,Hervé Le Tellier,3.79,68012,28,2608
"Nevermoor: The Trials of Morrigan Crow (Nevermoor, #1)",Jessica Townsend,4.31,75454,31,2607
"The Golem's Eye (Bartimaeus, #2)",Jonathan Stroud,4.12,96648,33,2604
"Hex of the Witch (The Other Witch, #1)",Heather G. Harris,4.43,4391,27,2602
Carnal: Somewhere Over 40 Winks,Rom LcO'Feer,3.55,1959,26,2600
Kürk Mantolu Madonna,Sabahattin Ali,4.34,98362,28,2600
"Nevermore (Nevermore, #1)",Kelly Creagh,3.86,30518,32,2600
"Love & Gelato (Love & Gelato, #1)",Jenna Evans Welch,4.02,184566,29,2599
"Wyrd Sisters (Discworld, #6; Witches, #2)",Terry Pratchett,4.16,130674,43,2597
"Relic (Pendergast, #1)",Douglas Preston,4.05,115226,36,2595
Go Tell It on the Mountain,James Baldwin,4.05,81038,35,2594
"Twilight (The Mediator, #6)",Meg Cabot,4.24,42876,35,2594
The Ophiuchi Hotline,John Varley,3.9,4000,28,2592
Scary Smart: The Future of Artificial Intelligence and How You Can Save Our World,Mo Gawdat,3.81,3211,27,2591
Columbine,Dave Cullen,4.29,102036,34,2588
The Librarian of the Haunted Library (Strangely Scary Funny #1),Brian Yansky,3.8,3979,28,2588
The Secret Keeper,Kate Morton,4.16,173473,34,2587
My Money My Way: Taking Back Control of Your Financial Life,Kumiko Love,4.17,2522,27,2587
Hotel on the Corner of Bitter and Sweet,Jamie Ford,4.05,314442,36,2585
"NIGHT TERROR (A Genetics Investigation Team Thriller, #1)",Russ Tilton,4.33,1014,27,2585
"Dark Visions (Dark Visions, #1-3)",L.J. Smith,4.18,38639,37,2584
Maurice,E.M. Forster,4.08,57578,30,2584
"Restore Me (Shatter Me, #4)",Tahereh Mafi,4.14,410480,31,2584
Thousand Pieces of Gold,Ruthanne Lum McCunn,3.9,2745,27,2584
La dame aux camélias,Alexandre Dumas fils,4.05,61198,33,2583
The Gulag Archipelago 1918–1956,Aleksandr Solzhenitsyn,4.33,34518,36,2581
The Hour I First Believed,Wally Lamb,3.83,65411,34,2579
Follow the River,James Alexander Thom,4.23,23300,37,2576
Death in Venice,Thomas Mann,3.68,67937,35,2576
"Love, Theoretically",Ali Hazelwood,4.08,650965,30,2575
"Son of the Shadows (Sevenwaters, #2)",Juliet Marillier,4.33,34128,31,2574
"These Happy Golden Years (Little House, #8)",Laura Ingalls Wilder,4.22,79037,39,2574
The Other Emily,Dean Koontz,3.76,41026,27,2573
"A Song of Ice and Fire (A Song of Ice and Fire, #1-5)",George R.R. Martin,4.61,65044,35,2572
Little Bee,Chris Cleave,3.72,248275,35,2572
"Fugitive Telemetry (The Murderbot Diaries, #6)",Martha Wells,4.29,101793,27,2571
"We'll Always Have Summer (Summer, #3)",Jenny Han,3.77,652790,31,2569
Everything I Know About Love,Dolly Alderton,3.94,493097,27,2567
"Truly, Devious (Truly Devious, #1)",Maureen Johnson,3.88,180020,30,2567
"The Present (VanWest, #2)",Kenneth   Thomas,3.65,2277,26,2566
Duma Key,Stephen  King,3.99,136222,37,2564
The Dog Walker: The Prequel (Dog Walker #0),D.L. Maddox,4.34,1262,29,2563
There's A Bear On My Chair,Ross Collins,4.19,2539,27,2555
"A Hunger Like No Other (Immortals After Dark, #1)",Kresley Cole,4.06,92447,35,2554
"A Torch Against the Night (An Ember in the Ashes, #2)",Sabaa Tahir,4.22,195759,29,2553
1984,George Orwell,4.2,5402881,31,2553
"The Player of Games (Culture, #2)",Iain M. Banks,4.28,80231,32,2550
Just Mercy,Bryan Stevenson,4.62,260189,30,2550
"The Atlas Six (The Atlas, #1)",Olivie Blake,3.55,274723,28,2550
From Hell,Alan             Moore,4.19,44596,38,2549
سیمای شکسته پدر سالار,سید مرتضی مصطفوی,3.29,523,26,2548
"Blue Moon (Anita Blake, Vampire Hunter, #8)",Laurell K. Hamilton,4.07,68101,35,2546
"Magyk (Septimus Heap, #1)",Angie Sage,3.86,124773,39,2544
"One Thousand White Women: The Journals of May Dodd (One Thousand White Women, #1)",Jim Fergus,3.91,136092,34,2542
"The Grand Delusion (Manufactured Identity, #2)",Heath Sommer,4.18,179,26,2542
"The Eternity Code (Artemis Fowl, #3)",Eoin Colfer,4.05,140626,33,2541
"Leaving Paradise (Leaving Paradise, #1)",Simone Elkeles,3.99,44117,32,2540
The Vanishing Half,Brit Bennett,4.12,850188,30,2539
Heart of Darkness and The Secret Sharer,Joseph Conrad,3.51,18255,40,2535
The Rose Code,Kate Quinn,4.44,363840,26,2535
A House in the Sky,Amanda Lindhout,4.28,72121,30,2534
"Captive Prince: Volume Two (Captive Prince, #2)",C.S. Pacat,4.37,89490,28,2532
"The Mysterious Benedict Society and the Perilous Journey (The Mysterious Benedict Society, #2)",Trenton Lee Stewart,4.21,59889,32,2531
"Daddy-Long-Legs (Daddy-Long-Legs, #1)",Jean Webster,4.13,75238,34,2529
"Kill Switch (Devil's Night, #3)",Penelope Douglas,4.29,182423,28,2529
When Nietzsche Wept,Irvin D. Yalom,4.36,83262,29,2527
Still Beating,Jennifer Hartmann,4.2,229665,27,2526
Don't Be In Love,Liana Cincotti,3.79,13662,27,2526
"Bloodlines (Bloodlines, #1)",Lindsay Anne Kendal,3.81,1101,27,2525
"The Serpent and the Wings of Night (Crowns of Nyaxia, #1)",Carissa Broadbent,4.27,731266,29,2524
A Stolen Life,Jaycee Dugard,3.97,145256,27,2522
Lethal Impulse,Steve  Rush,4.45,295,29,2518
"The Immortals of Meluha (Shiva Trilogy, #1)",Amish Tripathi,4.14,127244,29,2514
V.,Thomas Pynchon,3.97,25254,31,2512
The Boy From Block 66: A WW2 Jewish Holocaust Survival True Story (Heroic Children of World War II Book 1),Limor Regev,4.45,7718,26,2512
"Smile (Smile, #1)",Raina Telgemeier,4.23,307349,30,2511
"Unsouled (Cradle, #1)",Will Wight,4.14,56105,27,2511
"Cirque du Freak: A Living Nightmare (Cirque du Freak, #1)",Darren Shan,4.08,63741,30,2509
Woke Up Like This,Amy  Lea,4.01,24938,26,2508
"Fade Out (The Morganville Vampires, #7)",Rachel Caine,4.18,40677,39,2503
"This Girl (Slammed, #3)",Colleen Hoover,3.69,180314,31,2501
"Night Play (Dark-Hunter, #5; Were-Hunter, #1)",Sherrilyn Kenyon,4.34,55833,36,2501
A Man with A White Shadow,Vikram Suryawanshi,4.62,233,25,2500
"To Say Nothing of the Dog (Oxford Time Travel, #2)",Connie Willis,4.1,44154,31,2499
"Life After Life (Todd Family, #1)",Kate Atkinson,3.78,240728,32,2494
"South of the Border, West of the Sun",Haruki Murakami,3.85,149583,31,2494
Sunshine,Robin McKinley,3.84,44086,30,2492
"The Coming Wave: Technology, Power, and the Twenty-first Century's Greatest Dilemma",Mustafa Suleyman,3.81,14130,26,2491
The Discovery of Heaven,Harry Mulisch,4.17,17698,29,2489
From Sand and Ash,Amy Harmon,4.38,67308,26,2488
"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,3.85,20881,26,2487
"Station Eternity (The Midsolar Murders, #1)",Mur Lafferty,3.69,8068,26,2487
The Shadow Sect (Netherdei #1),Peter Hackshaw,4.13,1424,26,2486
"The Poetry Pharmacy Returns: More Prescriptions for Courage, Healing and Hope",William Sieghart,4.37,1030,26,2486
"The Orb of Truth (The Horn King, #1)",Brae Wyckoff,3.78,312,25,2485
"Time and Again (Time, #1)",Jack Finney,3.94,25149,34,2483
"Seduced in the Dark (The Dark Duet, #2)",C.J. Roberts,4.27,56433,30,2482
The Autobiography of Benjamin Franklin,Benjamin Franklin,3.85,91470,35,2482
The Book of Doors,Gareth  Brown,4.03,94895,27,2482
Anxious People,Fredrik Backman,4.17,793448,27,2481
Raintree County,Ross Lockridge Jr.,3.99,1103,29,2478
Lucky,Alice Sebold,3.77,101732,34,2478
My Grandmother Asked Me to Tell You She's Sorry,Fredrik Backman,4.07,286250,31,2478
The Crimson Petal and the White,Michel Faber,3.89,45039,34,2477
The Song of Achilles,Madeline Miller,4.3,1955753,28,2477
The Book of Why: The New Science of Cause and Effect,Judea Pearl,3.94,6533,26,2476
"The Burning Bridge (Ranger's Apprentice, #2)",John Flanagan,4.31,135950,33,2475
